===名單===
醫院: city | 區域: hospName | 地址: hospTel
醫院: 花蓮縣 | 區域: 佛教慈濟醫療財團法人花蓮慈濟醫院 | 地址: 03-8561825
醫院: 花蓮縣 | 區域: 臺北榮民總醫院鳳林分院 | 地址: 03-8764539
醫院: 花蓮縣 | 區域: 臺北榮民總醫院玉里分院 | 地址: 03-8883141#5300~5301
醫院: 花蓮縣 | 區域: 門諾醫院 | 地址: 03-8241021
醫院: 花蓮縣 | 區域: 秀林鄉衛生所 | 地址: 03-8612122
醫院: 花蓮縣 | 區域: 吉安鄉衛生所 | 地址: 03-8521113
醫院: 花蓮縣 | 區域: 新城鄉衛生所 | 地址: 03-8266781
醫院: 花蓮縣 | 區域: 花蓮市衛生所 | 地址: 03-8230232
醫院: 花蓮縣 | 區域: 玉里鎮衛生所 | 地址: 03-8882046
醫院: 花蓮縣 | 區域: 北國泰聯合診所 | 地址: 03-8228875
醫院: 花蓮縣 | 區域: 花蓮國軍總醫院 | 地址: 03-8263151
醫院: 花蓮縣 | 區域: 路加家庭醫師診所 | 地址: 03-8265082
醫院: 花蓮縣 | 區域: 安台診所 | 地址: 03-8261457
醫院: 臺東縣 | 區域: 路瑪診所 | 地址: 089-510015
醫院: 臺東縣 | 區域: 大慶家醫科外科診所 | 地址: 089-322221
醫院: 臺東縣 | 區域: 大溪診所 | 地址: 089-511999
醫院: 臺東縣 | 區域: 黃信揚診所 | 地址: 089-350385
醫院: 臺東縣 | 區域: 尤憲明內科小兒科診所 | 地址: 089-323306
醫院: 臺東縣 | 區域: 豐田診所 | 地址: 089-382835
醫院: 臺東縣 | 區域: 李旺駿耳鼻喉科診所 | 地址: 089-310568
醫院: 臺東縣 | 區域: 李惠雄內科診所 | 地址: 089-361850
醫院: 臺東縣 | 區域: 路加診所 | 地址: 089-352966
醫院: 臺東縣 | 區域: 東興內科診所 | 地址: 089-228678
醫院: 臺東縣 | 區域: 東和外科診所 | 地址: 089-311011
醫院: 臺東縣 | 區域: 台東聖母醫院 | 地址: 089-322833
醫院: 臺東縣 | 區域: 台東市衛生所 | 地址: 089-362192
醫院: 臺東縣 | 區域: 卑南鄉衛生所 | 地址: 089-382042
醫院: 臺東縣 | 區域: 安健家醫科婦產科診所 | 地址: 089-780720
醫院: 臺東縣 | 區域: 仁和內科外科診所 | 地址: 089-780310
醫院: 臺東縣 | 區域: 太麻里衛生所 | 地址: 089-781220
醫院: 臺東縣 | 區域: 曾建元家醫科診所 | 地址: 089-851002
醫院: 臺東縣 | 區域: 成功鎮衛生所 | 地址: 089-851419
醫院: 臺東縣 | 區域: 池上鄉衛生所 | 地址: 089-862609
醫院: 臺東縣 | 區域: 延平鄉衛生所 | 地址: 089-561358
醫院: 臺東縣 | 區域: 都蘭診所 | 地址: 089-530021
醫院: 臺東縣 | 區域: 東河鄉衛生所 | 地址: 089-896289
醫院: 臺東縣 | 區域: 金峰鄉衛生所 | 地址: 089-772201
醫院: 臺東縣 | 區域: 長濱鄉衛生所 | 地址: 089-831022
醫院: 臺東縣 | 區域: 海端鄉衛生所 | 地址: 089-931391
醫院: 臺東縣 | 區域: 鹿野診所 | 地址: 089-550457
醫院: 臺東縣 | 區域: 鹿野鄉衛生所 | 地址: 089-551074
醫院: 臺東縣 | 區域: 達仁鄉衛生所 | 地址: 089-702209
醫院: 臺東縣 | 區域: 綠島鄉衛生所 | 地址: 089-672511
醫院: 臺東縣 | 區域: 民安診所 | 地址: 089-814568
醫院: 臺東縣 | 區域: 東興關山診所 | 地址: 089-931575
醫院: 臺東縣 | 區域: 關山鎮衛生所 | 地址: 089-811042
醫院: 臺東縣 | 區域: 蘭嶼鄉衛生所 | 地址: 089-732575
醫院: 臺東縣 | 區域: 大武鄉衛生所 | 地址: 089-791143
醫院: 高雄市 | 區域: 胡榿小兒科診所 | 地址: 07-3827356
醫院: 高雄市 | 區域: 儲昭仁耳鼻喉科診所 | 地址: 07-3890470
醫院: 高雄市 | 區域: 林志哲耳鼻喉科診所 | 地址: 07-3987593
醫院: 高雄市 | 區域: 謝明容耳鼻喉科診所 | 地址: 07-3973999
醫院: 高雄市 | 區域: 黃學武家庭醫學科診所 | 地址: 07-3815668
醫院: 高雄市 | 區域: 董金山診所 | 地址: 07-3833405
醫院: 高雄市 | 區域: 柳雱邁診所 | 地址: 07-3895640
醫院: 高雄市 | 區域: 羅韻珊小兒科診所 | 地址: 07-3870430
醫院: 高雄市 | 區域: 鼎祥診所 | 地址: 07-3477086
醫院: 高雄市 | 區域: 吉星小兒科診所 | 地址: 07-3477086
醫院: 高雄市 | 區域: 青聯診所 | 地址: 07-7677002
醫院: 高雄市 | 區域: 范雅修小兒科診所 | 地址: 07-3876366
醫院: 高雄市 | 區域: 建欣診所 | 地址: 07-3808856
醫院: 高雄市 | 區域: 育明診所 | 地址: 07-3478461
醫院: 高雄市 | 區域: 快安診所 | 地址: 07-3895420
醫院: 高雄市 | 區域: 亮忠診所 | 地址: 07-3490760
醫院: 高雄市 | 區域: 鼎真診所 | 地址: 07-3103130
醫院: 高雄市 | 區域: 張氏診所 | 地址: 07-3419182
醫院: 高雄市 | 區域: 莊永昌診所 | 地址: 07-3922289
醫院: 高雄市 | 區域: 蕭瑞榮小兒科診所 | 地址: 07-3867121
醫院: 高雄市 | 區域: 怡碩耳鼻喉科診所 | 地址: 07-3808169
